id_venta,id_cliente,fecha,nombre_cliente,email,medio_pago
40,167,2023-01-25 04:00:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
41,12,2023-01-25 12:00:00,Thiago Jazmin Ramirez Gonzalez,thiago.gonzalez@yahoo.com,efectivo
42,533,2023-01-25 13:26:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
43,188,2023-01-25 18:00:00,Thiago Ezequiel Rodriguez,thiagorodriguez@yahoo.com,tarjeta
44,484,2023-01-25 18:00:00,Dante Faustino Duarte Luna,dluna@hotmail.com,transferencia
45,222,2023-01-26 02:00:00,Victoria Gonzalez,vgonzalez@outlook.com,tarjeta
46,317,2023-01-26 12:00:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,tarjeta
47,164,2023-01-26 18:12:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,tarjeta
48,365,2023-01-26 18:52:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
49,553,2023-01-27 18:00:00,Dr(a). Matilda Lopez,dr(a)..lopez83@outlook.com,qr
50,422,2023-01-28 19:45:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
51,164,2023-01-30 09:37:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,tarjeta
52,422,2023-01-30 12:16:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
53,222,2023-01-30 12:53:00,Victoria Gonzalez,vgonzalez@outlook.com,tarjeta
54,164,2023-01-30 17:12:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,tarjeta
55,553,2023-01-30 17:36:00,Dr(a). Matilda Lopez,dr(a)..lopez83@outlook.com,qr
56,327,2023-01-30 18:41:00,Julieta Sosa,julieta_sosa@hotmail.com,transferencia
57,533,2023-01-30 18:47:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,qr
58,317,2023-01-30 20:31:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,efectivo
59,533,2023-01-30 20:33:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
60,167,2023-01-31 17:48:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
61,422,2023-02-01 17:21:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
62,320,2023-02-01 18:00:00,Helena Juarez,helena_juarez@yahoo.com,tarjeta
63,478,2023-02-01 19:00:00,Dr(a). Valentin Villalba,dr(a)._villalba@yahoo.com,efectivo
64,533,2023-02-02 13:19:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
65,295,2023-02-02 17:00:00,Josefina Sofia Rodriguez,jrodriguez@gmail.com,efectivo
66,167,2023-02-03 09:41:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,qr
67,320,2023-02-03 10:04:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
68,320,2023-02-03 10:50:00,Helena Juarez,helena_juarez@yahoo.com,tarjeta
69,320,2023-02-03 11:20:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
70,320,2023-02-03 12:59:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
71,320,2023-02-03 17:43:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
72,320,2023-02-03 17:53:00,Helena Juarez,helena_juarez@yahoo.com,tarjeta
73,320,2023-02-03 18:37:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
74,422,2023-02-03 18:57:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
75,164,2023-02-03 19:18:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
76,422,2023-02-03 19:53:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
77,320,2023-02-03 20:03:00,Helena Juarez,helena_juarez@yahoo.com,tarjeta
78,422,2023-02-03 20:32:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
79,422,2023-02-03 22:48:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
80,422,2023-02-04 10:42:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
81,348,2023-02-04 13:00:00,Santino Benjamin Ludmila Gutierrez,santino_gutierrez@gmail.com,efectivo
82,414,2023-02-05 07:00:00,Ignacio Soto,ignacio.soto@gmail.com,qr
83,385,2023-02-06 00:00:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
84,533,2023-02-06 12:25:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
85,362,2023-02-06 13:00:00,Valentino Cabrera,valentino.cabrera47@outlook.com,efectivo
86,385,2023-02-06 13:33:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
87,164,2023-02-06 13:51:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,tarjeta
88,385,2023-02-06 14:13:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
89,317,2023-02-06 14:50:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,qr
90,362,2023-02-06 17:19:00,Valentino Cabrera,valentino.cabrera47@outlook.com,tarjeta
91,533,2023-02-06 19:42:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
92,533,2023-02-06 20:09:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
93,400,2023-02-07 01:00:00,Tiziano Benjamin Silva,tsilva@hotmail.com,efectivo
94,422,2023-02-07 08:14:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
95,164,2023-02-07 10:08:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
96,533,2023-02-07 12:12:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,transferencia
97,167,2023-02-07 17:27:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,transferencia
98,365,2023-02-07 18:09:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
99,385,2023-02-07 20:47:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
100,422,2023-02-08 08:18:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
101,167,2023-02-08 09:41:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,tarjeta
102,414,2023-02-08 12:08:00,Ignacio Soto,ignacio.soto@gmail.com,efectivo
103,484,2023-02-09 13:16:00,Dante Faustino Duarte Luna,dluna@hotmail.com,transferencia
104,474,2023-02-09 13:23:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
105,362,2023-02-10 09:43:00,Valentino Cabrera,valentino.cabrera47@outlook.com,efectivo
106,316,2023-02-10 12:50:00,Lucía Sofia Rojas Diaz,ldiaz@hotmail.com,qr
107,400,2023-02-10 12:57:00,Tiziano Benjamin Silva,tsilva@hotmail.com,efectivo
108,481,2023-02-10 17:22:00,Dr(a). Ciro Aguirre,dr(a).aguirre@yahoo.com,efectivo
109,474,2023-02-10 17:28:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
110,320,2023-02-10 17:39:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
111,422,2023-02-10 18:06:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
112,365,2023-02-10 18:06:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
113,164,2023-02-11 14:51:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
114,564,2023-02-11 21:00:00,Sr(a). Francisco Fernandez,sr(a).fernandez@hotmail.com,tarjeta
115,474,2023-02-11 22:07:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
116,232,2023-02-12 03:00:00,Zoe Jazmin Toledo Barrios,zoebarrios@yahoo.com,qr
117,474,2023-02-12 17:13:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
118,348,2023-02-12 19:42:00,Santino Benjamin Ludmila Gutierrez,santino_gutierrez@gmail.com,efectivo
119,164,2023-02-12 22:45:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,transferencia
120,26,2023-02-13 09:55:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
121,533,2023-02-13 12:01:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
122,385,2023-02-13 13:26:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
123,365,2023-02-13 14:18:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
124,385,2023-02-13 14:31:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
125,317,2023-02-13 20:37:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,efectivo
126,26,2023-02-14 08:29:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
127,533,2023-02-14 12:32:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
128,26,2023-02-14 16:00:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
129,164,2023-02-14 16:17:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
130,533,2023-02-14 19:31:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,efectivo
131,533,2023-02-15 20:20:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
132,412,2023-02-16 07:00:00,Juana Arias,jarias@hotmail.com,efectivo
133,167,2023-02-16 12:35:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
134,167,2023-02-16 17:48:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,tarjeta
135,422,2023-02-16 21:24:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,tarjeta
136,365,2023-02-17 12:49:00,Emma Gutierrez,egutierrez@outlook.com,tarjeta
137,320,2023-02-17 17:06:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
138,320,2023-02-17 17:43:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
139,26,2023-02-17 18:45:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
140,457,2023-02-17 22:00:00,Dr(a). Valentin Correa,dr(a)..correa@yahoo.com,qr
141,26,2023-02-18 11:13:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
142,320,2023-02-18 19:21:00,Helena Juarez,helena_juarez@yahoo.com,tarjeta
143,26,2023-02-19 10:59:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
144,481,2023-02-19 13:48:00,Dr(a). Ciro Aguirre,dr(a).aguirre@yahoo.com,tarjeta
145,164,2023-02-19 18:35:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,transferencia
146,172,2023-02-19 20:00:00,Felipe Martina Suarez Valdez,felipe_valdez@outlook.com,efectivo
147,164,2023-02-20 08:04:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,tarjeta
148,23,2023-02-20 12:00:00,Thiago Fernandez,thiagofernandez@hotmail.com,transferencia
149,385,2023-02-20 13:04:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
150,164,2023-02-20 16:52:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
151,317,2023-02-20 18:16:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,efectivo
152,167,2023-02-20 18:31:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
153,317,2023-02-20 18:39:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,tarjeta
154,422,2023-02-20 19:43:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
155,385,2023-02-20 20:20:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
156,317,2023-02-21 14:27:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,efectivo
157,385,2023-02-21 14:40:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
158,118,2023-02-21 16:00:00,Jeremias Alma Gonzalez Lopez,jeremias.lopez@gmail.com,qr
159,316,2023-02-21 19:12:00,Lucía Sofia Rojas Diaz,ldiaz@hotmail.com,qr
160,315,2023-02-22 01:00:00,Martina Rodriguez,martinarodriguez@yahoo.com,tarjeta
161,362,2023-02-22 09:02:00,Valentino Cabrera,valentino.cabrera47@outlook.com,tarjeta
162,385,2023-02-22 12:04:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
163,188,2023-02-22 12:49:00,Thiago Ezequiel Rodriguez,thiagorodriguez@yahoo.com,qr
164,301,2023-02-22 17:00:00,Olivia Maidana,omaidana@hotmail.com,tarjeta
165,167,2023-02-22 17:11:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
166,164,2023-02-22 19:56:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,qr
167,422,2023-02-23 11:08:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,tarjeta
168,392,2023-02-23 13:00:00,Ian Benjamin Gonzalez Ramirez,ian_ramirez@yahoo.com,qr
169,457,2023-02-23 17:44:00,Dr(a). Valentin Correa,dr(a)..correa@yahoo.com,efectivo
170,365,2023-02-23 19:02:00,Emma Gutierrez,egutierrez@outlook.com,tarjeta
171,517,2023-02-24 08:00:00,Jeremias Santino Torres Farias,jeremias.farias@hotmail.com,tarjeta
172,362,2023-02-24 09:10:00,Valentino Cabrera,valentino.cabrera47@outlook.com,efectivo
173,163,2023-02-24 10:00:00,Juan Cruz Gonzalez,juan.gonzalez@hotmail.com,qr
174,457,2023-02-24 11:26:00,Dr(a). Valentin Correa,dr(a)..correa@yahoo.com,tarjeta
175,481,2023-02-24 11:31:00,Dr(a). Ciro Aguirre,dr(a).aguirre@yahoo.com,efectivo
176,422,2023-02-24 12:13:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
177,400,2023-02-24 13:23:00,Tiziano Benjamin Silva,tsilva@hotmail.com,efectivo
178,320,2023-02-24 18:01:00,Helena Juarez,helena_juarez@yahoo.com,tarjeta
179,320,2023-02-24 19:58:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
180,385,2023-02-24 20:33:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
181,429,2023-02-25 01:00:00,Uma Santiago Gomez Rodriguez,umarodriguez@hotmail.com,tarjeta
182,362,2023-02-25 10:56:00,Valentino Cabrera,valentino.cabrera47@outlook.com,efectivo
183,26,2023-02-25 11:08:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
184,167,2023-02-25 11:15:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,tarjeta
185,422,2023-02-25 15:17:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
186,26,2023-02-25 15:54:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
187,422,2023-02-25 22:18:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
188,320,2023-02-26 10:00:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
189,474,2023-02-26 11:47:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,transferencia
190,167,2023-02-27 09:29:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
191,563,2023-02-27 10:00:00,Thiago Lopez Ferreyra,thiago_ferreyra@yahoo.com,tarjeta
192,317,2023-02-27 13:50:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,efectivo
193,164,2023-02-27 16:41:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,transferencia
194,362,2023-02-27 19:46:00,Valentino Cabrera,valentino.cabrera47@outlook.com,efectivo
195,316,2023-02-27 20:04:00,Lucía Sofia Rojas Diaz,ldiaz@hotmail.com,transferencia
196,304,2023-02-28 05:00:00,Valentina  Bautista Benjamin Perez,valentina_perez@gmail.com,transferencia
197,442,2023-02-28 07:00:00,Dr(a). Charo Rivero,dr(a)..rivero82@yahoo.com,qr
198,182,2023-02-28 08:00:00,Lautaro Avila,lautaro_avila@hotmail.com,tarjeta
199,188,2023-02-28 13:09:00,Thiago Ezequiel Rodriguez,thiagorodriguez@yahoo.com,transferencia
200,327,2023-02-28 18:15:00,Julieta Sosa,julieta_sosa@hotmail.com,transferencia
201,88,2023-03-01 10:00:00,Martina Romero,martinaromero@outlook.com,tarjeta
202,304,2023-03-01 13:41:00,Valentina  Bautista Benjamin Perez,valentina_perez@gmail.com,efectivo
203,517,2023-03-01 19:30:00,Jeremias Santino Torres Farias,jeremias.farias@hotmail.com,qr
204,304,2023-03-01 20:23:00,Valentina  Bautista Benjamin Perez,valentina_perez@gmail.com,efectivo
205,119,2023-03-02 08:00:00,Sr(a). Benicio Perez,sr(a).perez@gmail.com,tarjeta
206,412,2023-03-02 12:41:00,Juana Arias,jarias@hotmail.com,tarjeta
207,429,2023-03-02 18:54:00,Uma Santiago Gomez Rodriguez,umarodriguez@hotmail.com,tarjeta
208,304,2023-03-02 18:56:00,Valentina  Bautista Benjamin Perez,valentina_perez@gmail.com,efectivo
209,422,2023-03-03 09:38:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
210,118,2023-03-03 12:14:00,Jeremias Alma Gonzalez Lopez,jeremias.lopez@gmail.com,qr
211,320,2023-03-03 12:35:00,Helena Juarez,helena_juarez@yahoo.com,qr
212,365,2023-03-03 12:56:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
213,422,2023-03-03 13:25:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
214,118,2023-03-03 19:09:00,Jeremias Alma Gonzalez Lopez,jeremias.lopez@gmail.com,transferencia
215,320,2023-03-03 19:58:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
216,320,2023-03-03 20:52:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
217,407,2023-03-04 12:00:00,Paloma Delfina Romero Figueroa,palomafigueroa@outlook.com,tarjeta
218,167,2023-03-04 12:14:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
219,474,2023-03-04 14:41:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
220,457,2023-03-04 18:25:00,Dr(a). Valentin Correa,dr(a)..correa@yahoo.com,tarjeta
221,422,2023-03-05 08:34:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
222,320,2023-03-05 10:09:00,Helena Juarez,helena_juarez@yahoo.com,efectivo
223,400,2023-03-05 10:09:00,Tiziano Benjamin Silva,tsilva@hotmail.com,efectivo
224,422,2023-03-05 13:01:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
225,481,2023-03-05 13:52:00,Dr(a). Ciro Aguirre,dr(a).aguirre@yahoo.com,efectivo
226,290,2023-03-05 20:00:00,Gabriel Lucero Ramirez,gabrielramirez@hotmail.com,tarjeta
227,74,2023-03-05 23:00:00,Agustin Bustos Rojas,agustin.rojas19@hotmail.com,qr
228,422,2023-03-06 09:06:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
229,26,2023-03-06 11:04:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
230,407,2023-03-06 11:09:00,Paloma Delfina Romero Figueroa,palomafigueroa@outlook.com,tarjeta
231,474,2023-03-06 15:03:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
232,422,2023-03-06 18:12:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
233,365,2023-03-06 18:39:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
234,533,2023-03-06 19:50:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
235,429,2023-03-06 20:17:00,Uma Santiago Gomez Rodriguez,umarodriguez@hotmail.com,efectivo
236,53,2023-03-07 07:00:00,Ignacio Martinez Rodriguez,ignacio.rodriguez@gmail.com,tarjeta
237,463,2023-03-07 11:00:00,Felipe Sanchez,felipe.sanchez18@outlook.com,transferencia
238,563,2023-03-07 11:40:00,Thiago Lopez Ferreyra,thiago_ferreyra@yahoo.com,qr
239,385,2023-03-07 14:03:00,Bautista Agostina Perez,bperez@outlook.com,tarjeta
240,365,2023-03-07 18:44:00,Emma Gutierrez,egutierrez@outlook.com,tarjeta
241,463,2023-03-07 20:32:00,Felipe Sanchez,felipe.sanchez18@outlook.com,qr
242,422,2023-03-07 22:10:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
243,310,2023-03-08 08:00:00,Gonzalo Silva,gsilva@gmail.com,tarjeta
244,422,2023-03-08 11:18:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
245,188,2023-03-08 12:02:00,Thiago Ezequiel Rodriguez,thiagorodriguez@yahoo.com,qr
246,26,2023-03-08 14:43:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
247,50,2023-03-09 12:00:00,Dr(a). Olivia Soto,dr(a)..soto@hotmail.com,tarjeta
248,395,2023-03-09 13:17:00,Gonzalo Maximo Sanchez,gonzalo.sanchez@gmail.com,tarjeta
249,118,2023-03-09 13:45:00,Jeremias Alma Gonzalez Lopez,jeremias.lopez@gmail.com,qr
250,304,2023-03-09 14:21:00,Valentina  Bautista Benjamin Perez,valentina_perez@gmail.com,efectivo
251,26,2023-03-09 15:49:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
252,539,2023-03-09 18:00:00,Luana Benicio Paz,luana_paz@yahoo.com,efectivo
253,385,2023-03-09 20:30:00,Bautista Agostina Perez,bperez@outlook.com,efectivo
254,395,2023-03-10 05:00:00,Gonzalo Maximo Sanchez,gonzalo.sanchez@gmail.com,efectivo
255,182,2023-03-10 10:12:00,Lautaro Avila,lautaro_avila@hotmail.com,qr
256,422,2023-03-10 11:54:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
257,333,2023-03-10 14:00:00,Candela Bruno Alvarez,calvarez@yahoo.com,tarjeta
258,317,2023-03-10 14:55:00,Alma Valentina Garcia Moreno,almamoreno@yahoo.com,efectivo
259,26,2023-03-10 15:37:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,tarjeta
260,167,2023-03-10 17:24:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,tarjeta
261,26,2023-03-10 17:53:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,efectivo
262,315,2023-03-10 18:45:00,Martina Rodriguez,martinarodriguez@yahoo.com,tarjeta
263,429,2023-03-10 20:12:00,Uma Santiago Gomez Rodriguez,umarodriguez@hotmail.com,qr
264,539,2023-03-10 20:43:00,Luana Benicio Paz,luana_paz@yahoo.com,tarjeta
265,474,2023-03-10 22:11:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
266,26,2023-03-11 09:44:00,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,tarjeta
267,422,2023-03-11 13:47:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
268,165,2023-03-11 18:02:00,Sr(a). Bautista Avila,sr(a)..avila77@outlook.com,tarjeta
269,165,2023-03-11 19:14:00,Sr(a). Bautista Avila,sr(a)..avila77@outlook.com,tarjeta
270,66,2023-03-11 19:41:00,Sr(a). Josefina Dominguez,sr(a)..dominguez@hotmail.com,tarjeta
271,248,2023-03-12 23:00:00,Francesca Kiara Herrera,francesca.herrera14@hotmail.com,efectivo
272,167,2023-03-13 10:13:00,Sr(a). Sofía Benitez,sbenitez@hotmail.com,efectivo
273,563,2023-03-13 12:16:00,Thiago Lopez Ferreyra,thiago_ferreyra@yahoo.com,tarjeta
274,463,2023-03-13 13:34:00,Felipe Sanchez,felipe.sanchez18@outlook.com,qr
275,563,2023-03-13 17:59:00,Thiago Lopez Ferreyra,thiago_ferreyra@yahoo.com,tarjeta
276,563,2023-03-13 18:24:00,Thiago Lopez Ferreyra,thiago_ferreyra@yahoo.com,tarjeta
277,385,2023-03-13 18:42:00,Bautista Agostina Perez,bperez@outlook.com,qr
278,533,2023-03-13 18:55:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
